current_company,target_company,years_of_experience,current_salary,expected_salary,gender,location,current_role,sector,education,certifications,skills,current_company_tier,target_company_tier
hexaware,accenture,6.7,2636280,3469132,Other,Delhi,Technical Lead,IT,Master,Microsoft Certified: Azure DevOps Engineer Expert,Integration Testing,4,2
virtusa,infosys,8.0,2041529,3075472,Male,Kolkata,Technical Lead,IT,Master,Microsoft Certified: Azure Administrator Associate,Single Sign-On,4,3
tcs,hcl,9.7,1285516,1761638,Male,Delhi,Quality Assurance Lead,IT,PhD,Certified Scrum Master (CSM),Smart Contracts,3,3
happiest-minds,coforge,7.1,975594,1230755,Male,Hyderabad,Site Reliability Engineer,IT,Bachelor,Project Management Professional (PMP),Information Security,5,5
oracle,netflix,11.7,2763628,3607470,Male,Delhi,Business Intelligence Analyst,IT,PhD,TensorFlow Developer Certificate,Penetration Testing,2,1
zensar,happiest-minds,2.8,2069102,2885339,Male,Pune,Scrum Master,IT,Master,Google Cloud Professional Machine Learning Engineer,JavaScript,4,5
uber,accenture,1.4,2085419,3261692,Female,Gurgaon,Blockchain Developer,IT,Bachelor,ITIL Expert,Kanban,1,2
virtusa,infosys,11.8,1780744,2281216,Male,Mumbai,Data Analyst,IT,Bachelor,Cisco Certified Network Professional (CCNP),Technical Writing,4,3
amazon,deloitte,1.1,2726758,3629932,Male,Bangalore,Database Administrator,IT,PhD,Professional Scrum Master (PSM),Big Data,1,2
virtusa,hcl,12.1,3148391,4509017,Male,Hyderabad,Full Stack Developer,IT,PhD,AWS Cloud Practitioner,Message Queues,4,3
tcs,hexaware,4.7,3191009,4093598,Female,Chennai,Machine Learning Engineer,IT,PhD,Oracle Database Administrator Certified Professional,Google Cloud Platform,3,4
wipro,netflix,4.4,2024685,2851362,Female,Gurgaon,Data Scientist,IT,Bachelor,CompTIA Cloud+,CI/CD,3,1
hcl,wipro,9.7,1539652,2091570,Female,Hyderabad,AI Researcher,IT,PhD,Certified Cloud Security Professional (CCSP),Network Security,3,3
microsoft,hcl,3.1,1203483,1496921,Female,Pune,Tech Lead,IT,Bachelor,Certificate of Cloud Security Knowledge (CCSK),AWS,1,3
microsoft,coforge,12.0,2289661,2849489,Male,Kolkata,Technical Lead,IT,Bachelor,Google Cloud Associate Cloud Engineer,Database Management,1,5
uber,amazon,13.8,2801934,3800308,Male,Chennai,DevOps Engineer,IT,PhD,Salesforce Certified Administrator,Blockchain,1,1
hexaware,google,3.7,1208766,1916737,Male,Delhi,QA Engineer,IT,PhD,Google Cloud Professional Machine Learning Engineer,Natural Language Processing,4,1
hexaware,virtusa,6.9,2461240,3147074,Female,Kolkata,Business Intelligence Analyst,IT,Master,Google Cloud Associate Cloud Engineer,Git,4,4
zensar,virtusa,3.6,706589,909386,Male,Delhi,Solution Architect,IT,PhD,Google Cloud Professional DevOps Engineer,Kubernetes,4,4
hexaware,infosys,7.9,1556502,2230097,Male,Gurgaon,Performance Engineer,IT,Master,Certified Ethical Hacker (CEH),IoT,4,3
